timestamp,power
1588284000,579
1588284900,212
1588285800,51
1588286700,84
1588287600,46
1588288500,48
1588289400,88
1588290300,56
1588291200,62
1588292100,56
1588293000,78
1588293900,60
1588294800,46
1588295700,90
1588296600,60
1588297500,44
1588298400,64
1588299300,90
1588300200,44
1588301100,57
1588302000,130
1588302900,101
1588303800,76
1588304700,58
1588305600,81
1588306500,47
1588307400,47
1588308300,87
1588309200,83
1588310100,48
1588311000,60
1588311900,76
1588312800,90
1588313700,96
1588314600,84
1588315500,62
1588316400,46
1588317300,59
1588318200,224
1588319100,407
1588320000,582
1588320900,498
1588321800,86
1588322700,87
1588323600,80
1588324500,55
1588325400,39
1588326300,39
1588327200,75
1588328100,25
1588329000,46
1588329900,38
1588330800,32
1588331700,55
1588332600,67
1588333500,78
1588334400,19
1588335300,22
1588336200,62
1588337100,36
1588338000,36
1588338900,32
1588339800,49
1588340700,17
1588341600,21
1588342500,98
1588343400,90
1588344300,62
1588345200,46
1588346100,78
1588347000,31
1588347900,17
1588348800,42
1588349700,68
1588350600,42
1588351500,52
1588352400,172
1588353300,84
1588354200,63
1588355100,78
1588356000,67
1588356900,62
1588357800,63
1588358700,68
1588359600,73
1588360500,70
1588361400,155
1588362300,165
1588363200,161
1588364100,166
1588365000,163
1588365900,159
1588366800,158
1588367700,144
1588368600,129
1588369500,153
1588370400,166
1588371300,98
1588372200,68
1588373100,81
1588374000,101
1588374900,82
1588375800,73
1588376700,89
1588377600,52
1588378500,44
1588379400,35
1588380300,65
1588381200,36
1588382100,29
1588383000,92
1588383900,66
1588384800,30
1588385700,29
1588386600,65
1588387500,54
1588388400,33
1588389300,83
1588390200,128
1588391100,60
1588392000,49
1588392900,59
1588393800,54
1588394700,72
1588395600,111
1588396500,80
1588397400,41
1588398300,31
1588399200,57
1588400100,42
1588401000,52
1588401900,71
1588402800,59
1588403700,273
1588404600,155
1588405500,108
1588406400,41
1588407300,77
1588408200,65
1588409100,60
1588410000,52
1588410900,57
1588411800,79
1588412700,75
1588413600,74
1588414500,399
1588415400,270
1588416300,74
1588417200,99
1588418100,870
1588419000,941
1588419900,573
1588420800,289
1588421700,70
1588422600,316
1588423500,656
1588424400,92
1588425300,121
1588426200,85
1588427100,49
1588428000,32
1588428900,79
1588429800,45
1588430700,56
1588431600,519
1588432500,619
1588433400,1036
1588434300,583
1588435200,609
1588436100,593
1588437000,361
1588437900,62
1588438800,39
1588439700,47
1588440600,78
1588441500,90
1588442400,49
1588443300,55
1588444200,91
1588445100,485
1588446000,637
1588446900,667
1588447800,612
1588448700,604
1588449600,644
1588450500,228
1588451400,126
1588452300,147
1588453200,119
1588454100,91
1588455000,113
1588455900,148
1588456800,99
1588457700,36
1588458600,35
1588459500,60
1588460400,61
1588461300,32
1588462200,50
1588463100,41
1588464000,39
1588464900,58
1588465800,64
1588466700,26
1588467600,52
1588468500,94
1588469400,80
1588470300,37
1588471200,44
1588472100,53
1588473000,35
1588473900,58
1588474800,56
1588475700,40
1588476600,51
1588477500,44
1588478400,76
1588479300,49
1588480200,83
1588481100,91
1588482000,83
1588482900,42
1588483800,35
1588484700,49
1588485600,40
1588486500,25
1588487400,45
1588488300,68
1588489200,21
1588490100,27
1588491000,100
1588491900,59
1588492800,200
1588493700,287
1588494600,128
1588495500,36
1588496400,32
1588497300,95
1588498200,37
1588499100,33
1588500000,43
1588500900,82
1588501800,65
1588502700,41
1588503600,75
1588504500,24
1588505400,145
1588506300,162
1588507200,124
1588508100,74
1588509000,36
1588509900,54
1588510800,63
1588511700,83
1588512600,67
1588513500,44
1588514400,35
1588515300,41
1588516200,77
1588517100,36
1588518000,19
1588518900,40
1588519800,99
1588520700,190
1588521600,610
1588522500,102
1588523400,83
1588524300,458
1588525200,407
1588526100,52
1588527000,25
1588527900,32
1588528800,64
1588529700,56
1588530600,20
1588531500,36
1588532400,94
1588533300,77
1588534200,103
1588535100,127
1588536000,99
1588536900,100
1588537800,114
1588538700,155
1588539600,125
1588540500,103
1588541400,134
1588542300,128
1588543200,89
1588544100,74
1588545000,71
1588545900,54
1588546800,57
1588547700,53
1588548600,54
1588549500,50
1588550400,55
1588551300,70
1588552200,35
1588553100,37
1588554000,57
1588554900,60
1588555800,39
1588556700,35
1588557600,58
1588558500,39
1588559400,36
1588560300,57
1588561200,56
1588562100,90
1588563000,70
1588563900,53
1588564800,48
1588565700,18
1588566600,51
1588567500,49
1588568400,28
1588569300,42
1588570200,46
1588571100,50
1588572000,23
1588572900,73
1588573800,100
1588574700,45
1588575600,37
1588576500,51
1588577400,314
1588578300,97
1588579200,53
1588580100,84
1588581000,51
1588581900,100
1588582800,114
1588583700,70
1588584600,51
1588585500,323
1588586400,398
1588587300,68
1588588200,44
1588589100,59
1588590000,79
1588590900,81
1588591800,71
1588592700,83
1588593600,38
1588594500,57
1588595400,58
