timestamp,price_balancing_energy_positive,price_balancing_energy_negative
1598911200,0.1,0.1
1598912100,0.1,0.1
1598913000,0.1,0.1
1598913900,0.1,0.1
1598914800,0.1,0.1
1598915700,0.1,0.1
1598916600,0.1,0.1
1598917500,0.1,0.1
1598918400,0.1,0.1
1598919300,0.1,0.1
1598920200,0.1,0.1
1598921100,0.1,0.1
1598922000,0.1,0.1
1598922900,0.1,0.1
1598923800,0.1,0.1
1598924700,0.1,0.1
1598925600,0.1,0.1
1598926500,0.1,0.1
1598927400,0.1,0.1
1598928300,0.1,0.1
1598929200,0.1,0.1
1598930100,0.1,0.1
1598931000,0.1,0.1
1598931900,0.1,0.1
1598932800,0.1,0.1
1598933700,0.1,0.1
1598934600,0.1,0.1
1598935500,0.1,0.1
1598936400,0.1,0.1
1598937300,0.1,0.1
1598938200,0.1,0.1
1598939100,0.1,0.1
1598940000,0.1,0.1
1598940900,0.1,0.1
1598941800,0.1,0.1
1598942700,0.1,0.1
1598943600,0.1,0.1
1598944500,0.1,0.1
1598945400,0.1,0.1
1598946300,0.1,0.1
1598947200,0.1,0.1
1598948100,0.1,0.1
1598949000,0.1,0.1
1598949900,0.1,0.1
1598950800,0.1,0.1
1598951700,0.1,0.1
1598952600,0.1,0.1
1598953500,0.1,0.1
1598954400,0.1,0.1
1598955300,0.1,0.1
1598956200,0.1,0.1
1598957100,0.1,0.1
1598958000,0.1,0.1
1598958900,0.1,0.1
1598959800,0.1,0.1
1598960700,0.1,0.1
1598961600,0.1,0.1
1598962500,0.1,0.1
1598963400,0.1,0.1
1598964300,0.1,0.1
1598965200,0.1,0.1
1598966100,0.1,0.1
1598967000,0.1,0.1
1598967900,0.1,0.1
1598968800,0.1,0.1
1598969700,0.1,0.1
1598970600,0.1,0.1
1598971500,0.1,0.1
1598972400,0.1,0.1
1598973300,0.1,0.1
1598974200,0.1,0.1
1598975100,0.1,0.1
1598976000,0.1,0.1
1598976900,0.1,0.1
1598977800,0.1,0.1
1598978700,0.1,0.1
1598979600,0.1,0.1
1598980500,0.1,0.1
1598981400,0.1,0.1
1598982300,0.1,0.1
1598983200,0.1,0.1
1598984100,0.1,0.1
1598985000,0.1,0.1
1598985900,0.1,0.1
1598986800,0.1,0.1
1598987700,0.1,0.1
1598988600,0.1,0.1
1598989500,0.1,0.1
1598990400,0.1,0.1
1598991300,0.1,0.1
1598992200,0.1,0.1
1598993100,0.1,0.1
1598994000,0.1,0.1
1598994900,0.1,0.1
1598995800,0.1,0.1
1598996700,0.1,0.1
1598997600,0.1,0.1
1598998500,0.1,0.1
1598999400,0.1,0.1
1599000300,0.1,0.1
1599001200,0.1,0.1
1599002100,0.1,0.1
1599003000,0.1,0.1
1599003900,0.1,0.1
1599004800,0.1,0.1
1599005700,0.1,0.1
1599006600,0.1,0.1
1599007500,0.1,0.1
1599008400,0.1,0.1
1599009300,0.1,0.1
1599010200,0.1,0.1
1599011100,0.1,0.1
1599012000,0.1,0.1
1599012900,0.1,0.1
1599013800,0.1,0.1
1599014700,0.1,0.1
1599015600,0.1,0.1
1599016500,0.1,0.1
1599017400,0.1,0.1
1599018300,0.1,0.1
1599019200,0.1,0.1
1599020100,0.1,0.1
1599021000,0.1,0.1
1599021900,0.1,0.1
1599022800,0.1,0.1
1599023700,0.1,0.1
1599024600,0.1,0.1
1599025500,0.1,0.1
1599026400,0.1,0.1
1599027300,0.1,0.1
1599028200,0.1,0.1
1599029100,0.1,0.1
1599030000,0.1,0.1
1599030900,0.1,0.1
1599031800,0.1,0.1
1599032700,0.1,0.1
1599033600,0.1,0.1
1599034500,0.1,0.1
1599035400,0.1,0.1
1599036300,0.1,0.1
1599037200,0.1,0.1
1599038100,0.1,0.1
1599039000,0.1,0.1
1599039900,0.1,0.1
1599040800,0.1,0.1
1599041700,0.1,0.1
1599042600,0.1,0.1
1599043500,0.1,0.1
1599044400,0.1,0.1
1599045300,0.1,0.1
1599046200,0.1,0.1
1599047100,0.1,0.1
1599048000,0.1,0.1
1599048900,0.1,0.1
1599049800,0.1,0.1
1599050700,0.1,0.1
1599051600,0.1,0.1
1599052500,0.1,0.1
1599053400,0.1,0.1
1599054300,0.1,0.1
1599055200,0.1,0.1
1599056100,0.1,0.1
1599057000,0.1,0.1
1599057900,0.1,0.1
1599058800,0.1,0.1
1599059700,0.1,0.1
1599060600,0.1,0.1
1599061500,0.1,0.1
1599062400,0.1,0.1
1599063300,0.1,0.1
1599064200,0.1,0.1
1599065100,0.1,0.1
1599066000,0.1,0.1
1599066900,0.1,0.1
1599067800,0.1,0.1
1599068700,0.1,0.1
1599069600,0.1,0.1
1599070500,0.1,0.1
1599071400,0.1,0.1
1599072300,0.1,0.1
1599073200,0.1,0.1
1599074100,0.1,0.1
1599075000,0.1,0.1
1599075900,0.1,0.1
1599076800,0.1,0.1
1599077700,0.1,0.1
1599078600,0.1,0.1
1599079500,0.1,0.1
1599080400,0.1,0.1
1599081300,0.1,0.1
1599082200,0.1,0.1
1599083100,0.1,0.1
1599084000,0.1,0.1
1599084900,0.1,0.1
1599085800,0.1,0.1
1599086700,0.1,0.1
1599087600,0.1,0.1
1599088500,0.1,0.1
1599089400,0.1,0.1
1599090300,0.1,0.1
1599091200,0.1,0.1
1599092100,0.1,0.1
1599093000,0.1,0.1
1599093900,0.1,0.1
1599094800,0.1,0.1
1599095700,0.1,0.1
1599096600,0.1,0.1
1599097500,0.1,0.1
1599098400,0.1,0.1
1599099300,0.1,0.1
1599100200,0.1,0.1
1599101100,0.1,0.1
1599102000,0.1,0.1
1599102900,0.1,0.1
1599103800,0.1,0.1
1599104700,0.1,0.1
1599105600,0.1,0.1
1599106500,0.1,0.1
1599107400,0.1,0.1
1599108300,0.1,0.1
1599109200,0.1,0.1
1599110100,0.1,0.1
1599111000,0.1,0.1
1599111900,0.1,0.1
1599112800,0.1,0.1
1599113700,0.1,0.1
1599114600,0.1,0.1
1599115500,0.1,0.1
1599116400,0.1,0.1
1599117300,0.1,0.1
1599118200,0.1,0.1
1599119100,0.1,0.1
1599120000,0.1,0.1
1599120900,0.1,0.1
1599121800,0.1,0.1
1599122700,0.1,0.1
1599123600,0.1,0.1
1599124500,0.1,0.1
1599125400,0.1,0.1
1599126300,0.1,0.1
1599127200,0.1,0.1
1599128100,0.1,0.1
1599129000,0.1,0.1
1599129900,0.1,0.1
1599130800,0.1,0.1
1599131700,0.1,0.1
1599132600,0.1,0.1
1599133500,0.1,0.1
1599134400,0.1,0.1
1599135300,0.1,0.1
1599136200,0.1,0.1
1599137100,0.1,0.1
1599138000,0.1,0.1
1599138900,0.1,0.1
1599139800,0.1,0.1
1599140700,0.1,0.1
1599141600,0.1,0.1
1599142500,0.1,0.1
1599143400,0.1,0.1
1599144300,0.1,0.1
1599145200,0.1,0.1
1599146100,0.1,0.1
1599147000,0.1,0.1
1599147900,0.1,0.1
1599148800,0.1,0.1
1599149700,0.1,0.1
1599150600,0.1,0.1
1599151500,0.1,0.1
1599152400,0.1,0.1
1599153300,0.1,0.1
1599154200,0.1,0.1
1599155100,0.1,0.1
1599156000,0.1,0.1
1599156900,0.1,0.1
1599157800,0.1,0.1
1599158700,0.1,0.1
1599159600,0.1,0.1
1599160500,0.1,0.1
1599161400,0.1,0.1
1599162300,0.1,0.1
1599163200,0.1,0.1
1599164100,0.1,0.1
1599165000,0.1,0.1
1599165900,0.1,0.1
1599166800,0.1,0.1
1599167700,0.1,0.1
1599168600,0.1,0.1
1599169500,0.1,0.1
1599170400,0.1,0.1
1599171300,0.1,0.1
1599172200,0.1,0.1
1599173100,0.1,0.1
1599174000,0.1,0.1
1599174900,0.1,0.1
1599175800,0.1,0.1
1599176700,0.1,0.1
1599177600,0.1,0.1
1599178500,0.1,0.1
1599179400,0.1,0.1
1599180300,0.1,0.1
1599181200,0.1,0.1
1599182100,0.1,0.1
1599183000,0.1,0.1
1599183900,0.1,0.1
1599184800,0.1,0.1
1599185700,0.1,0.1
1599186600,0.1,0.1
1599187500,0.1,0.1
1599188400,0.1,0.1
1599189300,0.1,0.1
1599190200,0.1,0.1
1599191100,0.1,0.1
1599192000,0.1,0.1
1599192900,0.1,0.1
1599193800,0.1,0.1
1599194700,0.1,0.1
1599195600,0.1,0.1
1599196500,0.1,0.1
1599197400,0.1,0.1
1599198300,0.1,0.1
1599199200,0.1,0.1
1599200100,0.1,0.1
1599201000,0.1,0.1
1599201900,0.1,0.1
1599202800,0.1,0.1
1599203700,0.1,0.1
1599204600,0.1,0.1
1599205500,0.1,0.1
1599206400,0.1,0.1
1599207300,0.1,0.1
1599208200,0.1,0.1
1599209100,0.1,0.1
1599210000,0.1,0.1
1599210900,0.1,0.1
1599211800,0.1,0.1
1599212700,0.1,0.1
1599213600,0.1,0.1
1599214500,0.1,0.1
1599215400,0.1,0.1
1599216300,0.1,0.1
1599217200,0.1,0.1
1599218100,0.1,0.1
1599219000,0.1,0.1
1599219900,0.1,0.1
1599220800,0.1,0.1
1599221700,0.1,0.1
1599222600,0.1,0.1
1599223500,0.1,0.1
1599224400,0.1,0.1
1599225300,0.1,0.1
1599226200,0.1,0.1
1599227100,0.1,0.1
1599228000,0.1,0.1
1599228900,0.1,0.1
1599229800,0.1,0.1
1599230700,0.1,0.1
1599231600,0.1,0.1
1599232500,0.1,0.1
1599233400,0.1,0.1
1599234300,0.1,0.1
1599235200,0.1,0.1
1599236100,0.1,0.1
1599237000,0.1,0.1
1599237900,0.1,0.1
1599238800,0.1,0.1
1599239700,0.1,0.1
1599240600,0.1,0.1
1599241500,0.1,0.1
1599242400,0.1,0.1
1599243300,0.1,0.1
1599244200,0.1,0.1
1599245100,0.1,0.1
1599246000,0.1,0.1
1599246900,0.1,0.1
1599247800,0.1,0.1
1599248700,0.1,0.1
1599249600,0.1,0.1
1599250500,0.1,0.1
1599251400,0.1,0.1
1599252300,0.1,0.1
1599253200,0.1,0.1
1599254100,0.1,0.1
1599255000,0.1,0.1
1599255900,0.1,0.1
1599256800,0.1,0.1
1599257700,0.1,0.1
1599258600,0.1,0.1
1599259500,0.1,0.1
1599260400,0.1,0.1
